"id","region","line","station_count"
1,광주,"1호선",20
2,대구,대경선,8
3,대구,"1호선",35
4,대구,"2호선",27
5,대구,"3호선",30
6,대전,"1호선",22
7,부산,동해선,23
8,부산,부산김해경전철,21
9,부산,"1호선",40
10,부산,"2호선",43
11,부산,"3호선",17
12,부산,"4호선",14
13,수도권,경강선,12
14,수도권,경춘선,24
15,수도권,서해선,21
16,수도권,신림선,11
17,수도권,경춘선-망우선,2
18,수도권,공항철도,13
19,수도권,신분당선,16
20,수도권,경의중앙선,56
21,수도권,수인분당선,63
22,수도권,우이신설선,13
23,수도권,경의중앙선-용문홍천선,1
24,수도권,김포골드라인,10
25,수도권,용인에버라인,15
26,수도권,의정부경전철,15
27,수도권,인천 1호선,32
28,수도권,경의중앙선-경의1선,3
29,수도권,"1호선",103
30,수도권,인천 2호선,26
31,수도권,"2호선",46
32,수도권,"2호선-성수지선",5
33,수도권,"2호선-신정지선",5
34,수도권,"3호선",44
35,수도권,"4호선",52
36,수도권,"5호선",49
37,수도권,"5호선-마천지선",8
38,수도권,"6호선",39
39,수도권,"7호선",53
40,수도권,"8호선",18
41,수도권,"8호선-별내선",7
42,수도권,"9호선",38
43,수도권,광역급행철도A,9
